
Date,Name,Tags,URL,Description
2019-09-19,All-Time Favorites,"topstats, allstats",https://letterboxd.com/patrickmjones/list/all-time-favorites/,

Position,Name,Year,URL,Description
1,Sonatine,1993,https://letterboxd.com/film/sonatine/,
2,2001: A Space Odyssey,1968,https://letterboxd.com/film/2001-a-space-odyssey/,
3,The Shining,1980,https://letterboxd.com/film/the-shining/,
4,Akira,1988,https://letterboxd.com/film/akira/,
5,The Royal Tenenbaums,2001,https://letterboxd.com/film/the-royal-tenenbaums/,
6,My Neighbor Totoro,1988,https://letterboxd.com/film/my-neighbor-totoro/,
7,The Goonies,1985,https://letterboxd.com/film/the-goonies/,
