
Date,Name,Tags,URL,Description
2020-02-07,Bong Joon-ho's Movie Picks,,https://boxd.it/4KWXa,"Collected Bong Joon-Ho movie recommendations and picks from various sources. Includes his personal opinion about the film and link to source where available. 
Comment on list to share new or updated sources. I will update list accordingly.

<b><a href=""https://www.bfi.org.uk/films-tv-people//sightandsoundpoll2012/voter/902"">BFI's Sight and Sound Poll (2012)</a></b><blockquote>
These films have had the biggest impact on my own personal view of cinema.</blockquote>

<b><a href=""https://www.criterion.com/current/top-10-lists/212-bong-joon-ho-s-top-10"">Bong Joon-ho's Top 10 via Criterion</a></b><blockquote>
South Korean filmmaker Bong Joon-ho is the director of The Host (2006), Mother (2009), and Snowpiercer (2013). We interviewed him for our release of the classic South Korean film The Housemaid, available in the World Cinema Project box set. After we asked him to name his favorite titles in the collection, he told us, “I actually ended up writing a wish list of Criterion Blu-rays I would like to own. For an insatiable collector like myself, limiting myself to ten films was torture.”</blockquote>

<b><a href=""https://www.criterionchannel.com/talking-about-movies/videos/bong-joon-ho-s-closet-picks"">Bong Joon-ho's Closet Criterion Picks</a></b>
<blockquote>The Oscar-winning director of PARASITE visited the Criterion closet back in 2014.</blockquote>

<b><a href=""https://www.filmlinc.org/series/the-bong-show/#films"">Film at Lincoln Center, The Bong Show - Bong Joon-Ho Selects</a></b><blockquote>
The Bong Show also features an eclectic carte blanche of cinematic favorites chosen by Bong Joon Ho himself, with highlights including Kim Ki-young’s folk mystery Io Island; John Frankenheimer’s sinister sci-fi drama Seconds; Henri-George Clouzot’s Palme d’Or-winning The Wages of Fear; horror classics like John Carpenter’s The Thing and John Boorman’s Deliverance; and two works from Japanese masters, Shohei Imamura‘s Intentions of Murder and Kiyoshi Kurosawa’s Cure.</blockquote>

<b><a href=""https://www.youtube.com/watch?v=dXuXfgquwkM"">[video] Birth.Death.Movies - Bong Joon-ho Discusses PARASITE, Genre Filmmaking And The Greatness Of ZODIAC</a></b><blockquote>
No one can dispute the greatness of Bong Joon-ho, and it’s a delight to witness the master sit down and discuss not only his new film PARASITE but his love for cinema as a whole. We were lucky to have such an opportunity and now YOU are lucky because some smart person filmed it.</blockquote>

<b><a href=""https://twitter.com/BET/status/1228125424103940096"">[video] BETxOscars Bong Interview via Twitter</a></b>
<blockquote>
Yesterday, one of my favorite movies, ""The Farewell"", won the Independent Spirit award for Best Picture. </blockquote>"

Position,Name,Year,URL,Description
1,A City of Sadness,1989,https://boxd.it/EIm,"From: <a href=""https://www.bfi.org.uk/films-tv-people//sightandsoundpoll2012/voter/902"" >Bong's 2012 Sight and Sound poll</a>

<blockquote>These films have had the biggest impact on my own personal view of cinema.</blockquote>"
2,Cure,1997,https://boxd.it/1blA,"From: <a href=""https://www.bfi.org.uk/films-tv-people//sightandsoundpoll2012/voter/902"" >Bong's 2012 Sight and Sound poll</a>

<blockquote>These films have had the biggest impact on my own personal view of cinema.</blockquote>"
3,Fargo,1996,https://boxd.it/2aHM,"From: <a href=""https://www.bfi.org.uk/films-tv-people//sightandsoundpoll2012/voter/902"" >Bong's 2012 Sight and Sound poll</a>

<blockquote>These films have had the biggest impact on my own personal view of cinema.</blockquote>"
4,The Housemaid,1960,https://boxd.it/WJs,"From: <a href=""https://www.bfi.org.uk/films-tv-people//sightandsoundpoll2012/voter/902"" >Bong's 2012 Sight and Sound poll</a>

<blockquote>These films have had the biggest impact on my own personal view of cinema.</blockquote>"
5,Psycho,1960,https://boxd.it/2ab2,"From: <a href=""https://www.bfi.org.uk/films-tv-people//sightandsoundpoll2012/voter/902"" >Bong's 2012 Sight and Sound poll</a>

<blockquote>These films have had the biggest impact on my own personal view of cinema.</blockquote>"
6,Raging Bull,1980,https://boxd.it/28yI,"From: <a href=""https://www.bfi.org.uk/films-tv-people//sightandsoundpoll2012/voter/902"" >Bong's 2012 Sight and Sound poll</a>

<blockquote>These films have had the biggest impact on my own personal view of cinema.</blockquote>"
7,Touch of Evil,1958,https://boxd.it/28II,"From: <a href=""https://www.bfi.org.uk/films-tv-people//sightandsoundpoll2012/voter/902"" >Bong's 2012 Sight and Sound poll</a>

<blockquote>These films have had the biggest impact on my own personal view of cinema.</blockquote>"
