
Date,Name,Tags,URL,Description
2019-09-19,Favorite Films of 2019,top2019,https://letterboxd.com/patrickmjones/list/favorite-films-of-2019/,Ongoing list for 2019

Position,Name,Year,URL,Description
1,Us,2019,https://letterboxd.com/film/us-2019/,
2,Ad Astra,2019,https://letterboxd.com/film/ad-astra-2019/,
3,The Lighthouse,2019,https://letterboxd.com/film/the-lighthouse-2019/,
4,Once Upon a Time… in Hollywood,2019,https://letterboxd.com/film/once-upon-a-time-in-hollywood/,
5,Crawl,2019,https://letterboxd.com/film/crawl-2019/,
6,Uncut Gems,2019,https://letterboxd.com/film/uncut-gems/,
7,Little Women,2019,https://letterboxd.com/film/little-women-2019/,
8,Ready or Not,2019,https://letterboxd.com/film/ready-or-not-2019/,
9,The Irishman,2019,https://letterboxd.com/film/the-irishman-2019/,
10,I Lost My Body,2019,https://letterboxd.com/film/i-lost-my-body/,
11,Hustlers,2019,https://letterboxd.com/film/hustlers-2019/,
12,Joker,2019,https://letterboxd.com/film/joker-2019/,
13,Alita: Battle Angel,2019,https://letterboxd.com/film/alita-battle-angel/,
14,Midsommar,2019,https://letterboxd.com/film/midsommar/,
15,Svaha: The Sixth Finger,2019,https://letterboxd.com/film/svaha-the-sixth-finger/,
