
Date,Name,Tags,URL,Description
2021-06-17,Favorite Films of 2021,top2021,https://boxd.it/cr9dw,Ongoing list for 2021

Position,Name,Year,URL,Description
1,The Green Knight,2021,https://boxd.it/kuy2,
2,Army of the Dead,2021,https://boxd.it/ic7S,"First film of the year I added to my ""favorites"" list of said year. I just had so much fun, and I as the credits rolled I wanted to see it again, which is a rare feeling for me."
3,The Killing of Two Lovers,2020,https://boxd.it/oiN8,
4,A Quiet Place Part II,2020,https://boxd.it/iTx0,
5,Saint Maud,2019,https://boxd.it/l8QA,
6,Ang Babaeng Walang Pakiramdam,2021,https://boxd.it/oRRY,
7,Titane,2021,https://boxd.it/nlQC,
8,Val,2021,https://boxd.it/vs5a,
9,Pig,2021,https://boxd.it/nzoW,
10,The Last Duel,2021,https://boxd.it/mQbe,
11,The Power of the Dog,2021,https://boxd.it/m99E,
