
Date,Name,Tags,URL,Description
2022-08-10,FFC: Slipstreams Follow Along,,https://boxd.it/hN6fe,"LB list to follow along with Film Freak Central's Slipstreams, excluding any of the write-ups."

Position,Name,Year,URL,Description
1,The Clock,1945,https://boxd.it/vcw,FFC Slipstreams Vol 1: https://www.patreon.com/posts/slipstreams-vol-67539041
2,The Edge of Seventeen,2016,https://boxd.it/d5nu,FFC Slipstreams Vol 1 (for the road): https://www.patreon.com/posts/slipstreams-vol-67539041
3,George Carlin's American Dream,2022,https://boxd.it/ADUe,FFC Slipstreams Vol 1 (for the road): https://www.patreon.com/posts/slipstreams-vol-67539041
4,The Chocolate War,1988,https://boxd.it/1hL0,FFC Slipstreams Vol 2: https://www.patreon.com/posts/slipstreams-vol-67788809
5,The Hard Way,1943,https://boxd.it/1acW,FFC Slipstreams Vol 2 (for the road): https://www.patreon.com/posts/slipstreams-vol-67788809
6,Spa Night,2016,https://boxd.it/d0uA,FFC Slipstreams Vol 2 (for the road): https://www.patreon.com/posts/slipstreams-vol-67788809
7,Thelma,2017,https://boxd.it/e7Ce,FFC Slipstreams Vol 2 (for the road): https://www.patreon.com/posts/slipstreams-vol-67788809
8,What Lies Beneath,2000,https://boxd.it/26v8,FFC Slipstreams Vol 3: https://www.patreon.com/posts/slipstreams-vol-68067592
9,Forever Mine,1999,https://boxd.it/1GJI,FFC Slipstreams Vol 3 (for the road): https://www.patreon.com/posts/slipstreams-vol-68067592
10,Heartbreakers,2001,https://boxd.it/1Vhu,FFC Slipstreams Vol 3 (for the road): https://www.patreon.com/posts/slipstreams-vol-68067592
11,Killing Them Softly,2012,https://boxd.it/IQ,FFC Slipstreams Vol 3 (for the road): https://www.patreon.com/posts/slipstreams-vol-68067592
12,"Bright Lights, Big City",1988,https://boxd.it/1J4I,FFC Slipstreams Vol 4: https://www.patreon.com/posts/slipstreams-vol-68417074
13,The Ground Beneath My Feet,2019,https://boxd.it/kR4O,FFC Slipstreams Vol 4 (for the road): https://www.patreon.com/posts/slipstreams-vol-68417074
14,Wolf,1994,https://boxd.it/1Wn4,FFC Slipstreams Vol 4 (for the road): https://www.patreon.com/posts/slipstreams-vol-68417074
15,Tetsuo: The Iron Man,1989,https://boxd.it/ZoM,FFC Slipstreams Vol 4 (for the road): https://www.patreon.com/posts/slipstreams-vol-68417074
16,Intruder,1989,https://boxd.it/1jJA,FFC Slipstreams Vol 5: https://www.patreon.com/posts/slipstreams-vol-68698602
17,A Kiss Before Dying,1956,https://boxd.it/vTK,FFC Slipstreams Vol 5 (for the road): https://www.patreon.com/posts/slipstreams-vol-68698602
18,Capone,2020,https://boxd.it/fdAU,FFC Slipstreams Vol 5 (for the road): https://www.patreon.com/posts/slipstreams-vol-68698602
19,Beavis and Butt-Head Do the Universe,2022,https://boxd.it/vf5Q,FFC Slipstreams Vol 5 (for the road): https://www.patreon.com/posts/slipstreams-vol-68698602
20,Samurai Marathon,2019,https://boxd.it/lfyy,FFC Slipstreams Vol 6: https://www.patreon.com/posts/slipstreams-vol-69048454
21,Woman in the Dunes,1964,https://boxd.it/1JNS,FFC Slipstreams Vol 6 (for the road): https://www.patreon.com/posts/slipstreams-vol-69048454
22,Bubba Ho-tep,2002,https://boxd.it/1Y02,FFC Slipstreams Vol 6 (for the road): https://www.patreon.com/posts/slipstreams-vol-69048454
23,Daughters of the Dust,1991,https://boxd.it/2dkw,FFC Slipstreams Vol 6 (for the road): https://www.patreon.com/posts/slipstreams-vol-69048454
24,The Way of the Gun,2000,https://boxd.it/28t4,FFC Slipstreams Vol 7: https://www.patreon.com/posts/slipstreams-vol-69303361
25,Blue Sunshine,1977,https://boxd.it/10wW,FFC Slipstreams Vol 7 (for the road): https://www.patreon.com/posts/slipstreams-vol-69303361
26,Bad Boys,1983,https://boxd.it/1PKU,FFC Slipstreams Vol 7 (for the road): https://www.patreon.com/posts/slipstreams-vol-69303361
27,Patterns,1956,https://boxd.it/34XG,FFC Slipstreams Vol 8: https://www.patreon.com/posts/slipstreams-vol-69625036
28,Cube,1997,https://boxd.it/2aoU,FFC Slipstreams Vol 8 (for the road): https://www.patreon.com/posts/slipstreams-vol-69625036
29,The Rage: Carrie 2,1999,https://boxd.it/20ZG,FFC Slipstreams Vol 8 (for the road): https://www.patreon.com/posts/slipstreams-vol-69625036
30,Mother Joan of the Angels,1961,https://boxd.it/3Nny,FFC Slipstreams Vol 8 (for the road): https://www.patreon.com/posts/slipstreams-vol-69625036
