
Date,Name,Tags,URL,Description
2021-04-06,Godzilla and Friends Marathon ,,https://boxd.it/bHcni,"This is a list of all the Toho Godzilla films, as well as any films that are considered to take place in the Godzilla universe. It served as the roadmap for my Godzilla marathon. Hopefully, it can help others who want to go on this magical journey. 
You can find my ranked list for all of these <a href=""https://boxd.it/2HXiy"">here</a>."

Position,Name,Year,URL,Description
1,Godzilla,1954,https://boxd.it/28kc,
2,Godzilla Raids Again,1955,https://boxd.it/28k2,
3,Rodan,1956,https://boxd.it/1EBi,
4,The Mysterians,1957,https://boxd.it/V1u,
5,Varan,1958,https://boxd.it/fAbS,
6,Battle in Outer Space,1959,https://boxd.it/bc2,
7,Mothra,1961,https://boxd.it/13K8,
8,Gorath,1962,https://boxd.it/GIo,
9,King Kong vs. Godzilla,1962,https://boxd.it/28jS,
10,Atragon,1963,https://boxd.it/1cQE,
11,Mothra vs. Godzilla,1964,https://boxd.it/28jy,
12,Dogora,1964,https://boxd.it/b2c,
13,"Ghidorah, the Three-Headed Monster",1964,https://boxd.it/1Lze,
14,Frankenstein Conquers the World,1965,https://boxd.it/25Cs,
15,Invasion of Astro-Monster,1965,https://boxd.it/1EXe,
16,The War of the Gargantuas,1966,https://boxd.it/25EI,
17,"Ebirah, Horror of the Deep",1966,https://boxd.it/25Hs,
18,King Kong Escapes,1967,https://boxd.it/1448,
19,Son of Godzilla,1967,https://boxd.it/1GAQ,
20,Destroy All Monsters,1968,https://boxd.it/25IK,
21,Latitude Zero,1969,https://boxd.it/GEQ,
22,All Monsters Attack,1969,https://boxd.it/13Co,
23,Space Amoeba,1970,https://boxd.it/16uC,
24,Godzilla vs. Hedorah,1971,https://boxd.it/13C4,
25,Godzilla vs. Gigan,1972,https://boxd.it/1FgU,
26,Godzilla vs. Megalon,1973,https://boxd.it/145U,
27,Godzilla vs. Mechagodzilla,1974,https://boxd.it/15Gs,
28,Terror of Mechagodzilla,1975,https://boxd.it/1Fhe,
29,The War in Space,1977,https://boxd.it/16o0,
30,The Return of Godzilla,1984,https://boxd.it/eTZ6,
31,Godzilla vs. Biollante,1989,https://boxd.it/1Hec,
32,Godzilla vs. King Ghidorah,1991,https://boxd.it/1a4e,
33,Godzilla vs. Mothra,1992,https://boxd.it/13BU,
34,Godzilla vs. Mechagodzilla II,1993,https://boxd.it/21uE,
35,Godzilla vs. SpaceGodzilla,1994,https://boxd.it/13BK,
36,Godzilla vs. Destoroyah,1995,https://boxd.it/1RHy,
37,Rebirth of Mothra,1996,https://boxd.it/1b4u,
38,Rebirth of Mothra II,1997,https://boxd.it/1b4O,
39,Rebirth of Mothra III,1998,https://boxd.it/1aZE,
40,Godzilla 2000: Millennium,1999,https://boxd.it/1VKm,
41,Godzilla vs. Megaguirus,2000,https://boxd.it/13Bq,
42,"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack",2001,https://boxd.it/1b0i,
43,Godzilla Against MechaGodzilla,2002,https://boxd.it/1Rwg,
44,Godzilla: Tokyo S.O.S.,2003,https://boxd.it/13Bg,
45,Godzilla: Final Wars,2004,https://boxd.it/1Lz4,
46,Shin Godzilla,2016,https://boxd.it/a9lm,
