
Date,Name,Tags,URL,Description
2021-09-22,Hooptober Ocho: The Only Way to Stop a Bad Guy with a Chainsaw is a Good Guy with a Chainsaw,"hooptober, hooptober8.0, hoop-tober, yir2021, horror",https://boxd.it/dt3lM,"This is my second Hooptober, and I'm pretty excited after last year.  For details read <a href=""https://letterboxd.com/cinemonster/list/hooptober-ocho-the-only-way-to-stop-a-bad/"">Cinemonster's Hooptober Ocho: The Only Way to Stop a Bad Guy with a Chainsaw is a Good Guy with a Chainsaw</a>.

As usual, I have my own stipulations on top of the rules.
<blockquote>
 1) I'd like to keep it to movies I haven't already seen, and 
 2) Due to changing availability of some films on streaming services, I might have to swap one or more out for something else.</blockquote>

<b>This year's reviews:</b>
<blockquote>
1. <a href=""https://letterboxd.com/patrickmjones/film/dracula-1958/"">Dracula Review</a>: ♥
2. <a href=""https://letterboxd.com/patrickmjones/film/the-mummy-1959/"">The Mummy Review</a>: ♥
3. <a href=""https://letterboxd.com/patrickmjones/film/the-beyond/"">The Beyond Review</a>: ♥
4. <a href=""https://letterboxd.com/patrickmjones/film/kill-list/"">Kill List Review</a>: ♥
5. <a href=""https://letterboxd.com/patrickmjones/film/dead-buried/"">Dead & Buried Review</a>: ♥
</blockquote>

<b>Hooptober Ocho Rules:</b>
 - 6 countries
<blockquote>
 - USA: Lots of them
 - UK: Dracula, The Mummy
 - Philippines: Pagpag Nine Lives
 - Japan: Kuroneko
 - Korea: The 8th Night
 - France: The Swarm
 - Italy: The Beyond, The Black Cat
 - Poland: Nobody Sleeps in the Woods Tonight</blockquote>

- 8 decades<blockquote>
- 1930s: King Kong
 - 1950s: Dracula, The Mummy
 - 1960s: Kuroneko, Witchfinder General
 - 1980s: Films from 1981 below
 - 1990s: Def by Temptation, Demon Knight
 - 2000s: Bones
 - 2010s: Kill list
 - 2020s: The 8th Night, The Swarm, Nobody Sleeps in the Woods Tonight, etc.</blockquote>

- 2 folk horror<blockquote>
- Kuroneko
 - Kill List</blockquote>

- 4 films from 1981<blockquote>
- The Funhouse
 - The Beyond
 - An American Werewolf in London
 - The Black Cat
 - Dead & Buried</blockquote>

- 2 films from your birth year<blockquote>
- Same as 1981 🎂</blockquote>

- 2 haunted house films<blockquote>
- House on Haunted Hill
 - The Beyond</blockquote>

- The worst Part 2 that you haven't seen and can access. (I realize that this will take a little work)<blockquote>
- Sleepaway Camp II: Unhappy Campers</blockquote>

- 1 film set in the woods<blockquote>
- Nobody Sleeps in the Woods Tonight
 - Sleepaway Camp II: Unhappy Campers</blockquote>

- 1 Kaiju or Kong film (not the new K v. G)<blockquote>
- King Kong (1933)</blockquote>

- 2 Hammer films<blockquote>
- Dracula
 - The Mummy</blockquote>

- 3 films with a person of color as director or lead. (excluding Asian)<blockquote>
- Def by Temptation
 - Bones
 - Tales from the Crypt: Demon Knight</blockquote>

- 3 Asian horror films.<blockquote>
- Kuroneko
 - The 8th Night
 - Pagpag: Nine Lives</blockquote>

And 1 Tobe Hooper Films (There must ALWAYS be a Hooper film)<blockquote>
- The Funhouse</blockquote>

***FOR THOSE THAT LIKE TO DO EXTRA WORK: WATCH JD's Revenge, The Skull and The Scooby Doo Project
-review them all.(eek)"

Position,Name,Year,URL,Description
1,The Funhouse,1981,https://boxd.it/1PUK,"- 1980s
 - Films from 1981
 - Films from birth year
 - Tobe Hooper"
2,The Beyond,1981,https://boxd.it/1FtY,"- 1980s
 - Films from 1981
 - Films from birth year
 - Italy
 - Haunted house"
3,An American Werewolf in London,1981,https://boxd.it/29yk,"- 1980s
 - Films from 1981
 - Films from birth year"
4,The Black Cat,1981,https://boxd.it/1tL2,"- 1980s
 - Films from 1981
 - Films from birth year
 - Italy"
5,Dead & Buried,1981,https://boxd.it/1xYa,"- 1980s
 - Films from 1981
 - Films from birth year"
6,The Mummy,1959,https://boxd.it/1FUU,"- 1950s
 - Hammer films"
7,Dracula,1958,https://boxd.it/1STA,"- 1950s
 - Hammer films"
8,Kill List,2011,https://boxd.it/2z4g,"- 2010s
 - Folk horror"
9,Kuroneko,1968,https://boxd.it/12mE,"- 1960s
 - Japan
 - Folk horror"
10,The 8th Night,2021,https://boxd.it/miZu,"- 2020s
 - Korea
 - Asian horror"
11,The Swarm,2020,https://boxd.it/oCJ6,"- 2020s
 - France"
12,Nobody Sleeps in the Woods Tonight,2020,https://boxd.it/poY4,"- 2020s
 - Polish
 - Film in the woods"
13,Tales from the Crypt: Demon Knight,1995,https://boxd.it/1ZgK,"- 1990s
 - Directed/Lead by POC"
14,Pagpag: Nine Lives,2013,https://boxd.it/7zh0,"- 2010s
 - Philippines
 - Asian horror"
15,Def by Temptation,1990,https://boxd.it/2pUQ,"- 1990s
 - Directed/Lead by POC"
16,Bones,2001,https://boxd.it/1TZa,"- 2000s
 - Directed/Lead by POC"
17,Sleepaway Camp II: Unhappy Campers,1988,https://boxd.it/1e2c,"- 1980s
 - Worst sequel you haven't seen and can access"
18,King Kong,1933,https://boxd.it/2aMM,"- 1930s
 - Kaiju!"
19,Witchfinder General,1968,https://boxd.it/1i1s,"- 1960s
 - Folk horror"
20,House on Haunted Hill,1959,https://boxd.it/1Ln8,"- 1950s
 - Haunted house"
21,The Skull,1965,https://boxd.it/W8c,"- 1960s
 - Extra credit"
22,The Scooby-Doo Project,1999,https://boxd.it/eYtO,"- 1990s
 - Extra credit"
23,J.D.'s Revenge,1976,https://boxd.it/RkM,"- 1970s
 - Extra credit"
