
Date,Name,Tags,URL,Description
2020-08-27,Hooptober Se7en: We Have Such Masked Socially Distanced Indoor Sights to Show You,"yir2020, hooptober, hooptober7.0, hoop-tober, horror",https://boxd.it/8rj3g,"This is my first Hooptober.  For details read <a href=""https://letterboxd.com/cinemonster/list/hooptober-se7en-we-have-such-masked-socially/"">Cinemonster's Hooptober Se7en List</a>.

Putting together the list has been a little tricky.  
 1) I'd like to keep it to movies I haven't already seen, and 
 2) I'm trying to put together a list of movies I know I have access to (or will have access to when the time comes).  

Due to these stipulations on my part I may need to change a few movies around depending on availability over the course of October.

<b>Rules:</b>
 - 1 Tobe Hooper Film<blockquote>
- Body Bags</blockquote>
- 6 countries<blockquote>
- Kwaidan (Japan)
- Angst (Austria)
- Eyes Without a Face (France)
- Vampyr (Germany)
- [REC] (Spain)
- Peninsula (Korea)</blockquote>
- 6 decades<blockquote>
- Vampyr (1930s)
 - The Curse of Frankenstein (1950s)
 - Eyes Without a Face (1960s)
 - Blacula (1970s)
 - The Toxic Avenger Part II (1980s)
 - Body Bags (1990s)
 - Final Destination 3 (2000s)
 - Crimson Peak (2010s)
 - Peninsula (2020s)</blockquote>
- 7 2nd films of franchises<blockquote>
- Scream Blacula Scream
- [REC]2
- Dawn of the Dead
- Peninsula
- Tetsuo II: Body Hammer
- The Toxic Avenger Part II
- Brahms: The Boy II</blockquote>
- 4 body horror films<blockquote>
- Tetsuo II: Body Hammer
- Slither
- The Toxic Avenger Part II
- Body Melt</blockquote>
- 2 films from this year<blockquote>
- Peninsula
- Brahms: The Boy II</blockquote>
- 3 disease based films<blockquote>
- Peninsula
- The Crazies
- Contracted</blockquote>
- 1 highest rated horror film from the 50s that you haven't seen and can access.<blockquote>
- Diabolique</blockquote>
- 1 film that is set entirely inside one location<blockquote>
- [REC]</blockquote>
- 1 Invisible Person film<blockquote>
- The Invisible Man (2018)</blockquote>
- 1 Non Dracula Hammer Film<blockquote>
- The Curse of Frankenstein</blockquote>
- 2 films with a black director or predominantly black cast or lead.<blockquote>
- Blacula
- Eve's Bayou</blockquote>
- 1 film with a movie theater in it.<blockquote>
- The Invisible Man (2018)</blockquote>
I haven't seen any of these before so am excited and hoping I can pull this off without a hitch."

Position,Name,Year,URL,Description
1,Kwaidan,1964,https://boxd.it/1kbY,"Hooptober Se7en: 6 Decades (1960s)
Hooptober Se7en: 6 Countries (Japan)"
2,Eyes Without a Face,1960,https://boxd.it/1j9i,Hooptober Se7en: 6 Countries (France)
3,Diabolique,1955,https://boxd.it/29we,Hooptober Se7en: Highest Rated Horror Film from the 50s (1 of 1)
4,Eve's Bayou,1997,https://boxd.it/QdU,Hooptober Se7en: Black Director/Cast (2 of 2)
5,Jacob's Ladder,1990,https://boxd.it/270g,Hooptober Se7en: 6 Decades (1990s)
6,Final Destination 3,2006,https://boxd.it/1Z40,Hooptober Se7en: 6 Decades (2000s)
7,Crimson Peak,2015,https://boxd.it/62Ty,Hooptober Se7en: 6 Decades (2010s)
8,Angst,1983,https://boxd.it/1G46,Hooptober Se7en: 6 Countries (Austria)
9,Body Bags,1993,https://boxd.it/1iNc,Hooptober Se7en: Film by Tobe Hooper (1 of 1)
10,Vampyr,1932,https://boxd.it/29DY,Hooptober Se7en: 6 Countries (Germany)
11,[REC],2007,https://boxd.it/20ma,Hooptober Se7en: 6 Countries (Spain)
12,Scream Blacula Scream,1973,https://boxd.it/WPU,Hooptober Se7en: 2nd in Franchise (1 of 7)
13,[REC]²,2009,https://boxd.it/1VH8,Hooptober Se7en: 2nd in Franchise (2 of 7)
14,Dawn of the Dead,1978,https://boxd.it/29gU,Hooptober Se7en: 2nd in Franchise (3 of 7)
15,Peninsula,2020,https://boxd.it/lnrU,"Hooptober Se7en: Disease (1 of 3)
Hooptober Se7en: 2nd in Franchise (4 of 7)
Hooptober Se7en: 6 Countries (Korea)"
16,The Crazies,1973,https://boxd.it/1nwg,Hooptober Se7en: Disease (2 of 3)
17,Contracted,2013,https://boxd.it/68oG,Hooptober Se7en: Disease (3 of 3)
18,Tetsuo II: Body Hammer,1992,https://boxd.it/1HJY,"Hooptober Se7en: Body Horror (1 of 4)
Hooptober Se7en: 2nd in Franchise (5 of 7)"
19,Slither,2006,https://boxd.it/1Zks,Hooptober Se7en: Body Horror (2 of 4)
20,The Toxic Avenger Part II,1989,https://boxd.it/1q6g,"Hooptober Se7en: Body Horror (3 of 4)
Hooptober Se7en: 2nd in Franchise (7 of 7)"
21,Body Melt,1993,https://boxd.it/1AxQ,
22,Blacula,1972,https://boxd.it/1l3m,Hooptober Se7en: Black Director/Cast (1 of 2)
23,The Curse of Frankenstein,1957,https://boxd.it/25N6,Non Dracula Hammer Film: (1 of 1)
24,The Witch Who Came from the Sea,1976,https://boxd.it/v2w,Hooptober Se7en: Extra Credit (1 of 2)
25,Brahms: The Boy II,2020,https://boxd.it/klag,Hooptober Se7en: 2nd in Franchise (6 of 7)
26,The Invisible Man,2017,https://boxd.it/icDu,"Hooptober Se7en: Invisible Person (1 of 1)
Hooptober Se7en: Includes Movie Theater (1 of 1)"
