
Date,Name,Tags,URL,Description
2020-08-27,Hooptober - Se7en,yir2020,https://letterboxd.com/patrickmjones/list/hooptober-se7en/,"This is my first Hooptober.  For details read <a href=""https://letterboxd.com/cinemonster/list/hooptober-se7en-we-have-such-masked-socially/"">Cinemonster's Hooptober Se7en List</a>.

Putting together the list has been a little tricky.  1) I'd like to keep it to movies I haven't already seen, and 2) I'm trying to put together a list of movies I know I have access to (or will have access to when the time comes).  Due to these stipulations on my part I may need to change a few movies around depending on availability over the course of October.

<b>Rules:</b>

 - 1 Tobe Hooper Film
<blockquote>
- Body Bags
</blockquote>
 - 6 countries
<blockquote>
- Kwaidan (Japan)
- Angst (Austria)
- Eyes Without a Face (France)
- Vampyr (Germany)
- [REC] (Spain)
- Peninsula (Korea)
</blockquote>
 - 6 decades
<blockquote>
 - Vampyr (1930s)
 - The Curse of Frankenstein (1950s)
 - Eyes Without a Face (1960s)
 - Blacula (1970s)
 - The Toxic Avenger Part II (1980s)
 - Body Bags (1990s)
 - Final Destination 3 (2000s)
 - Crimson Peak (2010s)
 - Peninsula (2020s)
</blockquote>
 - 7 2nd films of franchises
<blockquote>
- Scream Blacula Scream
- [REC]2
- Dawn of the Dead
- Peninsula
- Tetsuo II: Body Hammer
- The Toxic Avenger Part II
- Brahms: The Boy II
</blockquote>
 - 4 body horror films
<blockquote>
- Tetsuo II: Body Hammer
- Slither
- The Toxic Avenger Part II
</blockquote>
 - 2 films from this year
<blockquote>
- Peninsula
- Brahms: The Boy II
</blockquote>
 - 3 disease based films
<blockquote>
- Peninsula
- The Crazies
- Contracted
</blockquote>
 - 1 highest rated horror film from the 50s that you haven't seen and can access.
<blockquote>
- Diabolique
</blockquote>
 - 1 film that is set entirely inside one location
<blockquote>
- [REC]
</blockquote>
 - 1 Invisible Person film
<blockquote>
- The Invisible Man (2018)
</blockquote>
 - 1 Non Dracula Hammer Film
<blockquote>
- The Curse of Frankenstein
</blockquote>
 - 2 films with a black director or predominantly black cast or lead.
<blockquote>
- Blacula
- Eve's Bayou
</blockquote>
 - 1 film with a movie theater in it.
<blockquote>
- The Invisible Man (2018)
</blockquote>

I haven't seen any of these before so am excited and hoping I can pull this off without a hitch. "

Position,Name,Year,URL,Description
1,Body Bags,1993,https://letterboxd.com/film/body-bags/,Hooptober Se7en: Film by Tobe Hooper (1 of 1)
2,Kwaidan,1964,https://letterboxd.com/film/kwaidan/,"Hooptober Se7en: 6 Decades (1960s)
Hooptober Se7en: 6 Countries (Japan)"
3,Jacob's Ladder,1990,https://letterboxd.com/film/jacobs-ladder/,Hooptober Se7en: 6 Decades (1990s)
4,Final Destination 3,2006,https://letterboxd.com/film/final-destination-3/,Hooptober Se7en: 6 Decades (2000s)
5,Crimson Peak,2015,https://letterboxd.com/film/crimson-peak/,Hooptober Se7en: 6 Decades (2010s)
6,Angst,1983,https://letterboxd.com/film/angst/,Hooptober Se7en: 6 Countries (Austria)
7,Eyes Without a Face,1960,https://letterboxd.com/film/eyes-without-a-face/,Hooptober Se7en: 6 Countries (France)
8,Vampyr,1932,https://letterboxd.com/film/vampyr/,Hooptober Se7en: 6 Countries (Germany)
9,[REC],2007,https://letterboxd.com/film/rec/,Hooptober Se7en: 6 Countries (Spain)
10,Scream Blacula Scream,1973,https://letterboxd.com/film/scream-blacula-scream/,Hooptober Se7en: 2nd in Franchise (1 of 7)
11,[REC]²,2009,https://letterboxd.com/film/rec-2/,Hooptober Se7en: 2nd in Franchise (2 of 7)
12,Dawn of the Dead,1978,https://letterboxd.com/film/dawn-of-the-dead/,Hooptober Se7en: 2nd in Franchise (3 of 7)
13,Diabolique,1955,https://letterboxd.com/film/diabolique-1955/,Hooptober Se7en: Highest Rated Horror Film from the 50s (1 of 1)
14,Peninsula,2020,https://letterboxd.com/film/peninsula/,"Hooptober Se7en: Disease (1 of 3)
Hooptober Se7en: 2nd in Franchise (4 of 7)
Hooptober Se7en: 6 Countries (Korea)"
15,The Crazies,1973,https://letterboxd.com/film/the-crazies/,Hooptober Se7en: Disease (2 of 3)
16,Contracted,2013,https://letterboxd.com/film/contracted/,Hooptober Se7en: Disease (3 of 3)
17,Tetsuo II: Body Hammer,1992,https://letterboxd.com/film/tetsuo-ii-body-hammer/,"Hooptober Se7en: Body Horror (1 of 4)
Hooptober Se7en: 2nd in Franchise (5 of 7)"
18,Slither,2006,https://letterboxd.com/film/slither/,Hooptober Se7en: Body Horror (2 of 4)
19,The Toxic Avenger Part II,1989,https://letterboxd.com/film/the-toxic-avenger-part-ii/,"Hooptober Se7en: Body Horror (3 of 4)
Hooptober Se7en: 2nd in Franchise (7 of 7)"
20,Blacula,1972,https://letterboxd.com/film/blacula/,Hooptober Se7en: Black Director/Cast (1 of 2)
21,Eve's Bayou,1997,https://letterboxd.com/film/eves-bayou/,Hooptober Se7en: Black Director/Cast (2 of 2)
22,The Curse of Frankenstein,1957,https://letterboxd.com/film/the-curse-of-frankenstein/,Non Dracula Hammer Film: (1 of 1)
23,The Witch Who Came from the Sea,1976,https://letterboxd.com/film/the-witch-who-came-from-the-sea/,Hooptober Se7en: Extra Credit (1 of 2)
24,Brahms: The Boy II,2020,https://letterboxd.com/film/brahms-the-boy-ii/,Hooptober Se7en: 2nd in Franchise (6 of 7)
25,The Invisible Man,2017,https://letterboxd.com/film/the-invisible-man-2017/,"Hooptober Se7en: Invisible Person (1 of 1)
Hooptober Se7en: Includes Movie Theater (1 of 1)"
