
Date,Name,Tags,URL,Description
2021-03-08,Martin Scorsese's Scariest Movies of All Time,directors list,https://boxd.it/bphRc,"On Halloween, Martin Scorcese gives to <a href=""http://www.thedailybeast.com/articles/2009/10/28/martin-scorseses-top-11-horror-films-of-all-time.html"">The Daily Beast</a> his ""scariest movies of all time"". Here's the list !"

Position,Name,Year,URL,Description
1,The Haunting,1963,https://boxd.it/1T7M,
2,Isle of the Dead,1945,https://boxd.it/1lwe,
3,The Uninvited,1944,https://boxd.it/1KeO,
4,The Entity,1982,https://boxd.it/1x5Y,
5,Dead of Night,1945,https://boxd.it/1PQI,
6,The Changeling,1980,https://boxd.it/1PVy,
7,The Shining,1980,https://boxd.it/29Nu,
8,The Exorcist,1973,https://boxd.it/1Yoo,
9,Night of the Demon,1957,https://boxd.it/1woA,
10,The Innocents,1961,https://boxd.it/1KeY,
11,Psycho,1960,https://boxd.it/2ab2,
