
Date,Name,Tags,URL,Description
2020-10-19,My Criterion Collection,owned,https://boxd.it/90tPk,

Position,Name,Year,URL,Description
1,The Seventh Seal,1957,https://boxd.it/2ahO,Blu-ray Edition&nbsp;<br>Spine #11
2,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/237s,Blu-ray Edition&nbsp;<br>Spine #17
3,M,1931,https://boxd.it/29vq,Blu-ray Edition&nbsp;<br>Spine #30
4,Tokyo Drifter,1966,https://boxd.it/OTY,Blu-ray Edition&nbsp;<br>Spine #39
5,The Red Shoes,1948,https://boxd.it/1EXI,Blu-ray Edition&nbsp;<br>Spine #44
6,Brazil,1985,https://boxd.it/2be2,Blu-ray Edition&nbsp;<br>Spine #51
7,Autumn Sonata,1978,https://boxd.it/1Rio,Blu-ray Edition&nbsp;<br>Spine #60
8,Rushmore,1998,https://boxd.it/1TAO,Blu-ray Edition&nbsp;<br>Spine #65
9,Black Narcissus,1947,https://boxd.it/1Kce,Blu-ray Edition&nbsp;<br>Spine #93
10,Do the Right Thing,1989,https://boxd.it/29gA,Blu-ray Edition&nbsp;<br>Spine #97
11,Häxan,1922,https://boxd.it/n4O,Blu-ray Edition&nbsp;<br>Spine #134
12,Rebecca,1940,https://boxd.it/2aQa,Blu-ray Edition&nbsp;<br>Spine #135
13,Kwaidan,1964,https://boxd.it/1kbY,Blu-ray Edition<br>Spine #90
14,Wild Strawberries,1957,https://boxd.it/29ZU,Blu-ray Edition&nbsp;<br>Spine #139
15,In the Mood for Love,2000,https://boxd.it/29tE,Blu-ray Edition&nbsp;<br>Spine #147
16,The Royal Tenenbaums,2001,https://boxd.it/1YHU,Blu-ray Edition&nbsp;<br>Spine #157
17,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,Blu-ray Edition&nbsp;<br>Spine #300
18,Le Samouraï,1967,https://boxd.it/22ZI,Blu-ray Edition&nbsp;<br>Spine #306
19,Sansho the Bailiff,1954,https://boxd.it/1Dkq,Blu-ray Edition&nbsp;<br>Spine #386
20,if....,1968,https://boxd.it/1Nna,Blu-ray Edition&nbsp;<br>Spine #391
21,Bottle Rocket,1996,https://boxd.it/1PDa,Blu-ray Edition&nbsp;<br>Spine #450
22,The Darjeeling Limited,2007,https://boxd.it/24as,Blu-ray Edition&nbsp;<br>Spine #540
23,Secret Sunshine,2007,https://boxd.it/27CY,Blu-ray Edition&nbsp;<br>Spine #576
24,Repo Man,1984,https://boxd.it/1Plg,Blu-ray Edition&nbsp;<br>Spine #654
25,Seconds,1966,https://boxd.it/1Dbe,Blu-ray Edition&nbsp;<br>Spine #667
26,Frances Ha,2012,https://boxd.it/41Xg,Blu-ray Edition&nbsp;<br>Spine #681
27,Code Unknown,2000,https://boxd.it/1kaw,Blu-ray Edition&nbsp;<br>Spine #780
28,Lady Snowblood,1973,https://boxd.it/26Fi,Blu-ray Edition&nbsp;<br>Spine #790
29,Lady Snowblood 2: Love Song of Vengeance,1974,https://boxd.it/1Ggm,Blu-ray Edition&nbsp;<br>Spine #791
30,Stalker,1979,https://boxd.it/28PO,Blu-ray Edition&nbsp;<br>Spine #888
31,David Lynch: The Art Life,2016,https://boxd.it/eASq,Blu-ray Edition&nbsp;<br>Spine #895
32,Moonrise,1948,https://boxd.it/1pGW,Blu-ray Edition&nbsp;<br>Spine #921
33,Manila in the Claws of Light,1975,https://boxd.it/2taM,Blu-ray Edition&nbsp;<br>Spine #925
34,Midnight Cowboy,1969,https://boxd.it/25Hi,Blu-ray Edition&nbsp;<br>Spine #928
35,Police Story,1985,https://boxd.it/1Zhe,Blu-ray Edition&nbsp;<br>#971
36,Police Story 2,1988,https://boxd.it/1VtU,Blu-ray Edition&nbsp;<br>Spine #972
37,Eraserhead,1977,https://boxd.it/299u,Blu-ray Edition&nbsp;<br>Spine #725
38,Salesman,1969,https://boxd.it/1rWC,DVD<br>Spine #122
39,Fanny and Alexander,1982,https://boxd.it/22go,DVD<br>Spine #261
