
Date,Name,Tags,URL,Description
2020-11-02,#Noirvember 2020 - 30 days of Noir Films,yir2020,https://boxd.it/96T2g,"Cloned from Lost in Film's <a href=""https://letterboxd.com/lostinfilm_/list/noirvember-30-days-of-noir-films/"">Noirvember List</a>"

Position,Name,Year,URL,Description
1,Ace in the Hole,1951,https://boxd.it/1vXk,
2,The Asphalt Jungle,1950,https://boxd.it/1Jrs,
3,The Big Combo,1955,https://boxd.it/1AIY,
4,The Big Heat,1953,https://boxd.it/1NNM,
5,The Big Sleep,1946,https://boxd.it/29iQ,
6,Crime Wave,1953,https://boxd.it/1EOG,
7,D.O.A.,1949,https://boxd.it/1FUg,
8,Detour,1945,https://boxd.it/1DB2,
9,Double Indemnity,1944,https://boxd.it/297I,
10,Gilda,1946,https://boxd.it/251G,
11,Gun Crazy,1950,https://boxd.it/1Gw0,
12,The Hitch-Hiker,1953,https://boxd.it/ZjC,
13,In a Lonely Place,1950,https://boxd.it/1JgO,
14,The Killing,1956,https://boxd.it/2aMi,
15,Kiss Me Deadly,1955,https://boxd.it/1HHe,
16,The Lady from Shanghai,1947,https://boxd.it/251Q,
17,Out of the Past,1947,https://boxd.it/29PK,
18,Laura,1944,https://boxd.it/27Oq,
19,The Maltese Falcon,1941,https://boxd.it/29c4,
20,Mildred Pierce,1945,https://boxd.it/25uS,
21,Night and the City,1950,https://boxd.it/1FFg,
22,The Night of the Hunter,1955,https://boxd.it/25HW,
23,The Postman Always Rings Twice,1946,https://boxd.it/1ve0,
24,Raw Deal,1948,https://boxd.it/1uqY,
25,Sunset Boulevard,1950,https://boxd.it/2a20,
26,Sweet Smell of Success,1957,https://boxd.it/29aW,
27,The Third Man,1949,https://boxd.it/294E,
28,This Gun for Hire,1942,https://boxd.it/1JL8,
29,The Set-Up,1949,https://boxd.it/1IYA,
30,Touch of Evil,1958,https://boxd.it/28II,
