
Date,Name,Tags,URL,Description
2019-11-25,Palme d'Or Winners Project,"cannes, project",https://boxd.it/4g5I2,"Does what is says on the tin. Minimum one film a week, probably won't see more than two - it will be a challenge in itself to see how far I can go back before limited availability stops me in my tracks. 
<a href=""http://www.indiewire.com/2016/05/heres-where-you-can-watch-every-palme-dor-winner-290173/"">This list</a> shows you where most of the winners can be seen, excluding 2016."

Position,Name,Year,URL,Description
1,Parasite,2019,https://boxd.it/hTha,
2,Shoplifters,2018,https://boxd.it/ifY6,
3,The Square,2017,https://boxd.it/e5YW,
4,"I, Daniel Blake",2016,https://boxd.it/d0xa,
5,Dheepan,2015,https://boxd.it/a890,
6,Winter Sleep,2014,https://boxd.it/7Ua0,
7,Blue Is the Warmest Color,2013,https://boxd.it/4O40,
8,Amour,2012,https://boxd.it/34Q6,
9,The Tree of Life,2011,https://boxd.it/1Zu8,
10,Uncle Boonmee Who Can Recall His Past Lives,2010,https://boxd.it/168Q,
11,The White Ribbon,2009,https://boxd.it/17eU,
12,The Class,2008,https://boxd.it/1ZMc,
13,"4 Months, 3 Weeks and 2 Days",2007,https://boxd.it/27DW,
14,The Wind That Shakes the Barley,2006,https://boxd.it/293Q,
15,The Child,2005,https://boxd.it/1TJm,
16,Fahrenheit 9/11,2004,https://boxd.it/28a2,
17,Elephant,2003,https://boxd.it/287i,
18,The Pianist,2002,https://boxd.it/2aqc,
19,The Son's Room,2001,https://boxd.it/1TPE,
20,Dancer in the Dark,2000,https://boxd.it/71E,
21,Rosetta,1999,https://boxd.it/1TJw,
22,Eternity and a Day,1998,https://boxd.it/1wSq,
23,The Eel,1997,https://boxd.it/1Dna,
24,Taste of Cherry,1997,https://boxd.it/1m8W,
25,Secrets & Lies,1996,https://boxd.it/1UuC,
26,Underground,1995,https://boxd.it/1SOA,
27,Pulp Fiction,1994,https://boxd.it/29Pq,
28,The Piano,1993,https://boxd.it/29Kq,
29,Farewell My Concubine,1993,https://boxd.it/1UTM,
30,The Best Intentions,1992,https://boxd.it/YAC,
31,Barton Fink,1991,https://boxd.it/2aFQ,
32,Wild at Heart,1990,https://boxd.it/2aii,
33,"Sex, Lies, and Videotape",1989,https://boxd.it/28Oc,
34,Pelle the Conqueror,1987,https://boxd.it/1Usc,
35,Under the Sun of Satan,1987,https://boxd.it/1joW,
36,The Mission,1986,https://boxd.it/1TTw,
37,When Father Was Away on Business,1985,https://boxd.it/1CuO,
38,"Paris, Texas",1984,https://boxd.it/29Ts,
39,The Ballad of Narayama,1983,https://boxd.it/XI6,
40,Yol,1982,https://boxd.it/yGY,
41,Missing,1982,https://boxd.it/1LTI,
42,Man of Iron,1981,https://boxd.it/2aPQ,
43,Kagemusha,1980,https://boxd.it/1SGG,
44,All That Jazz,1979,https://boxd.it/1JB8,
45,The Tin Drum,1979,https://boxd.it/29SO,
46,Apocalypse Now,1979,https://boxd.it/6ZS,
47,The Tree of Wooden Clogs,1978,https://boxd.it/1iRI,
48,Padre Padrone,1977,https://boxd.it/XqG,
49,Taxi Driver,1976,https://boxd.it/2b8y,
50,Chronicle of the Years of Fire,1975,https://boxd.it/yH8,
51,The Conversation,1974,https://boxd.it/2a38,
52,Scarecrow,1973,https://boxd.it/1iLU,
53,The Hireling,1973,https://boxd.it/2NRm,
54,The Mattei Affair,1972,https://boxd.it/bqe,
55,The Working Class Goes to Heaven,1971,https://boxd.it/pCe,
56,The Go-Between,1971,https://boxd.it/1b7y,
57,M*A*S*H,1970,https://boxd.it/29U6,
58,if....,1968,https://boxd.it/1Nna,
59,Blow-Up,1966,https://boxd.it/2966,
60,"The Birds, the Bees and the Italians",1966,https://boxd.it/1HLq,
61,A Man and a Woman,1966,https://boxd.it/Wb6,
62,The Knack... and How to Get It,1965,https://boxd.it/W8m,
63,The Umbrellas of Cherbourg,1964,https://boxd.it/22fK,
64,The Leopard,1963,https://boxd.it/296K,
65,The Given Word,1962,https://boxd.it/h6Y,
66,Viridiana,1961,https://boxd.it/24eE,
67,The Long Absence,1961,https://boxd.it/4hDw,
68,La Dolce Vita,1960,https://boxd.it/2anC,
69,Black Orpheus,1959,https://boxd.it/11PU,
70,The Cranes Are Flying,1957,https://boxd.it/169Y,
71,Friendly Persuasion,1956,https://boxd.it/UWk,
72,The Silent World,1956,https://boxd.it/gwQ,
73,Marty,1955,https://boxd.it/1Leg,"<p><a href=""http://letterboxd.com/kano/film/marty/"" rel=""nofollow"">letterboxd.com/kano/film/marty/</a></p>"
74,Gate of Hell,1953,https://boxd.it/UHY,
75,The Wages of Fear,1953,https://boxd.it/2aSK,
76,Two Cents Worth of Hope,1952,https://boxd.it/3Upc,
77,Othello,1951,https://boxd.it/K5A,
78,Miracle in Milan,1951,https://boxd.it/UD8,
79,Miss Julie,1951,https://boxd.it/1GxW,
80,The Third Man,1949,https://boxd.it/294E,
81,Red Meadows,1945,https://boxd.it/3pos,
82,The Lost Weekend,1945,https://boxd.it/1pgE,
83,Pastoral Symphony,1946,https://boxd.it/3Um8,
84,Brief Encounter,1945,https://boxd.it/29sm,
85,Neecha Nagar,1946,https://boxd.it/4S4y,
86,"Rome, Open City",1945,https://boxd.it/2aD6,
87,Maria Candelaria,1944,https://boxd.it/gxO,
88,Torment,1944,https://boxd.it/C3w,
89,The Last Chance,1945,https://boxd.it/3tsI,
90,Men without Wings,1946,https://boxd.it/4RDs,
91,The Turning Point,1945,https://boxd.it/4RDM,
92,Union Pacific,1939,https://boxd.it/TsI,
