
Date,Name,Tags,URL,Description
2020-07-04,Switchblade Recs,,https://boxd.it/5TavO,

Position,Name,Year,URL,Description
1,One Cut of the Dead,2017,https://boxd.it/iAFu,A movie about making a zombie movie that happens in real time. Extremely recommend.&nbsp;
2,The Void,2016,https://boxd.it/d93S,
3,Long Day's Journey Into Night,2018,https://boxd.it/hw1I,"A little confusing in the first half but the second half makes it worth it. Dreamlike and interesting, highly recommend.&nbsp;"
4,Street of Crocodiles,1986,https://boxd.it/ifW,Short but amazing creepy stop motion.
5,Bacurau,2019,https://boxd.it/fSUG,
6,Stalker,1979,https://boxd.it/28PO,
7,Mandy,2018,https://boxd.it/gtti,
8,Beyond the Black Rainbow,2010,https://boxd.it/EzY,
9,The Raid,2011,https://boxd.it/3hBy,
10,The Raid 2,2014,https://boxd.it/5uz0,
11,The Night Comes for Us,2018,https://boxd.it/g2lc,
12,The Villainess,2017,https://boxd.it/fwe4,
13,Willy's Wonderland,2021,https://boxd.it/nTcG,
14,Possessor,2020,https://boxd.it/fsJW,
15,A Fistful of Dollars,1964,https://boxd.it/2auo,
16,For a Few Dollars More,1965,https://boxd.it/29eu,
17,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
