Date,Name,Year,Letterboxd URI
2019-01-06,The Holy Mountain,1973,https://letterboxd.com/film/the-holy-mountain/
2019-05-21,Bone,1972,https://letterboxd.com/film/bone/
2019-05-21,Black Caesar,1973,https://letterboxd.com/film/black-caesar/
2019-05-23,The Room,2003,https://letterboxd.com/film/the-room/
2019-05-23,Godzilla: King of the Monsters,2019,https://letterboxd.com/film/godzilla-king-of-the-monsters-2019/
2019-05-23,The Conjuring: The Devil Made Me Do It,2021,https://letterboxd.com/film/the-conjuring-the-devil-made-me-do-it/
2019-05-23,A Quiet Place Part II,2020,https://letterboxd.com/film/a-quiet-place-part-ii/
2019-05-23,Candyman,2020,https://letterboxd.com/film/candyman-2020/
2019-05-28,Cut Bank,2014,https://letterboxd.com/film/cut-bank/
2019-05-30,Strangely in Love,2014,https://letterboxd.com/film/strangely-in-love/
2019-06-13,Black Mirror: Striking Vipers,2019,https://letterboxd.com/film/black-mirror-striking-vipers/
2019-06-19,AVP: Alien vs. Predator,2004,https://letterboxd.com/film/avp-alien-vs-predator/
2019-06-19,Aliens vs Predator: Requiem,2007,https://letterboxd.com/film/aliens-vs-predator-requiem/
2019-06-23,Heaven’s Waiting,,https://letterboxd.com/film/heavens-waiting/
2019-06-27,La La Land,2016,https://letterboxd.com/film/la-la-land/
2019-07-05,Joy,2018,https://letterboxd.com/film/joy-2018-1/
2019-07-08,The House That Jack Built,2018,https://letterboxd.com/film/the-house-that-jack-built-2018/
2019-07-08,Melancholia,2011,https://letterboxd.com/film/melancholia/
2019-07-08,Dogville,2003,https://letterboxd.com/film/dogville/
2019-07-11,Blindspotting,2018,https://letterboxd.com/film/blindspotting/
2019-07-11,Inland Empire,2006,https://letterboxd.com/film/inland-empire/
2019-07-11,Eraserhead Stories,2001,https://letterboxd.com/film/eraserhead-stories/
2019-07-11,Mulholland Drive,2001,https://letterboxd.com/film/mulholland-drive/
2019-07-11,Dune,1984,https://letterboxd.com/film/dune/
2019-07-12,Venom,2018,https://letterboxd.com/film/venom-2018/
2019-07-12,Spider-Man: Into the Spider-Verse,2018,https://letterboxd.com/film/spider-man-into-the-spider-verse/
2019-07-12,Electric Dragon 80.000 V,2001,https://letterboxd.com/film/electric-dragon-80000-v/
2019-07-15,The Day of the Locust,1975,https://letterboxd.com/film/the-day-of-the-locust/
2019-07-17,Y Tu Mamá También,2001,https://letterboxd.com/film/y-tu-mama-tambien/
2019-08-13,Pihu,2018,https://letterboxd.com/film/pihu/
2019-08-16,One Hour Photo,2002,https://letterboxd.com/film/one-hour-photo/
2019-08-16,The Fisher King,1991,https://letterboxd.com/film/the-fisher-king/
2019-08-16,Death to Smoochy,2002,https://letterboxd.com/film/death-to-smoochy/
2019-08-17,Widows,2018,https://letterboxd.com/film/widows-2018/
2019-08-19,North by Northwest,1959,https://letterboxd.com/film/north-by-northwest/
2019-08-21,Tokyo Tribe,2014,https://letterboxd.com/film/tokyo-tribe/
2019-08-21,Cold Fish,2010,https://letterboxd.com/film/cold-fish/
2019-08-21,Love Exposure,2008,https://letterboxd.com/film/love-exposure/
2019-08-21,Why Don't You Play in Hell?,2013,https://letterboxd.com/film/why-dont-you-play-in-hell/
2019-08-22,Before Midnight,2013,https://letterboxd.com/film/before-midnight/
2019-08-22,Before Sunrise,1995,https://letterboxd.com/film/before-sunrise/
2019-08-22,Punch-Drunk Love,2002,https://letterboxd.com/film/punch-drunk-love/
2019-08-24,Versus,2000,https://letterboxd.com/film/versus/
2019-08-24,Anger Management,2003,https://letterboxd.com/film/anger-management/
2019-08-26,Eve's Bayou,1997,https://letterboxd.com/film/eves-bayou/
2019-08-26,Manila Kingpin,2011,https://letterboxd.com/film/manila-kingpin/
2019-08-26,The Thing,1982,https://letterboxd.com/film/the-thing/
2019-08-27,American Factory,2019,https://letterboxd.com/film/american-factory/
2019-08-28,If Beale Street Could Talk,2018,https://letterboxd.com/film/if-beale-street-could-talk/
2019-08-29,Night of the Lepus,1972,https://letterboxd.com/film/night-of-the-lepus/
2019-09-04,Mahogany,1975,https://letterboxd.com/film/mahogany/
2019-09-04,Un Flic,1972,https://letterboxd.com/film/film:22349/
2019-09-09,Peace Hotel,1995,https://letterboxd.com/film/peace-hotel/
2019-09-09,Ladyhawke,1985,https://letterboxd.com/film/ladyhawke/
2019-09-09,Flesh + Blood,1985,https://letterboxd.com/film/flesh-blood-1985/
2019-09-09,The Room,2001,https://letterboxd.com/film/the-room-2001/
2019-09-09,Blind Fury,1989,https://letterboxd.com/film/blind-fury/
2019-09-09,The Human Condition,1961,https://letterboxd.com/film/the-human-condition/
2019-09-09,Over the Garden Wall,2014,https://letterboxd.com/film/over-the-garden-wall-2014/
2019-09-09,Come and See,1985,https://letterboxd.com/film/come-and-see/
2019-09-09,The Clock,2010,https://letterboxd.com/film/the-clock-2010/
2019-09-09,Yi Yi,2000,https://letterboxd.com/film/yi-yi/
2019-09-09,Apocalypse Now,1979,https://letterboxd.com/film/apocalypse-now/
2019-09-09,Serial Experiments Lain,1998,https://letterboxd.com/film/serial-experiments-lain-1998/
2019-09-09,Duck Amuck,1953,https://letterboxd.com/film/duck-amuck/
2019-09-10,Spring,2014,https://letterboxd.com/film/spring-2014/
2019-09-10,Wrecked,2013,https://letterboxd.com/film/wrecked-2013/
2019-09-14,Vesuvius,2012,https://letterboxd.com/film/vesuvius/
2019-09-14,Darna,2019,https://letterboxd.com/film/darna-2019/
2019-09-18,The Boondock Saints,1999,https://letterboxd.com/film/the-boondock-saints/
2019-09-20,Dead Rising: Watchtower,2015,https://letterboxd.com/film/dead-rising-watchtower/
2019-09-23,Promare,2019,https://letterboxd.com/film/promare/
2019-09-23,The Lost Boys,1987,https://letterboxd.com/film/the-lost-boys/
2019-09-25,The Poseidon Adventure,1972,https://letterboxd.com/film/the-poseidon-adventure/
